title,link,source,date,label
Skip to main content,https://www.factcheck.org/#main,FactCheck,2025-03-26,unknown
FactCheck.org®,https://www.factcheck.org/,FactCheck,2025-03-26,unknown
Articles,https://www.factcheck.org/,FactCheck,2025-03-26,unknown
Featured Posts,https://www.factcheck.org/articles/,FactCheck,2025-03-26,unknown
FactCheck Posts,https://www.factcheck.org/the-factcheck-wire/,FactCheck,2025-03-26,unknown
SciCheck,https://www.factcheck.org/scicheck/,FactCheck,2025-03-26,unknown
En Español,https://www.factcheck.org/es/en-espanol/,FactCheck,2025-03-26,unknown
2024 elections,https://www.factcheck.org/tag/2024-elections/,FactCheck,2025-03-26,unknown
Players Guide 2024,https://www.factcheck.org/players-guide/2024/,FactCheck,2025-03-26,unknown
Debunking Viral Claims,https://www.factcheck.org/fake-news/,FactCheck,2025-03-26,unknown
Ask a Question,https://www.factcheck.org/,FactCheck,2025-03-26,unknown
Ask FactCheck,https://www.factcheck.org/askfactcheck/,FactCheck,2025-03-26,unknown
Ask SciCheck,https://www.factcheck.org/askscicheck/,FactCheck,2025-03-26,unknown
Donate,https://giving.aws.cloud.upenn.edu/fund?fastStart=simpleForm&program=ANS&fund=602014,FactCheck,2025-03-26,unknown
Topics,https://www.factcheck.org/,FactCheck,2025-03-26,unknown
President Trump,https://www.factcheck.org/person/donald-trump/,FactCheck,2025-03-26,unknown
Joe Biden,https://www.factcheck.org/person/joe-biden/,FactCheck,2025-03-26,unknown
health,https://www.factcheck.org/issue/health/,FactCheck,2025-03-26,unknown
Coronavirus,https://www.factcheck.org/a-guide-to-our-coronavirus-coverage/,FactCheck,2025-03-26,unknown
immigration,https://www.factcheck.org/issue/immigration/,FactCheck,2025-03-26,unknown
climate change,https://www.factcheck.org/issue/climate-change/,FactCheck,2025-03-26,unknown
View All,https://www.factcheck.org/archives/,FactCheck,2025-03-26,unknown
About Us,https://www.factcheck.org/,FactCheck,2025-03-26,unknown
Our Mission,https://www.factcheck.org/about/our-mission/,FactCheck,2025-03-26,unknown
Our Process,https://www.factcheck.org/our-process/,FactCheck,2025-03-26,unknown
Our Funding,https://www.factcheck.org/our-funding/,FactCheck,2025-03-26,unknown
Our Staff,https://www.factcheck.org/our-staff/,FactCheck,2025-03-26,unknown
Undergraduate Fellows,https://www.factcheck.org/undergraduate-fellows/,FactCheck,2025-03-26,unknown
Awards,https://www.factcheck.org/awards/,FactCheck,2025-03-26,unknown
Request a Correction,https://www.factcheck.org/request-a-correction/,FactCheck,2025-03-26,unknown
Contact Us,https://www.factcheck.org/about/contact-us/,FactCheck,2025-03-26,unknown
