title,link,source,date,label
Skip to main content,https://www.factcheck.org/#main,FactCheck,3/26/2025,real
FactCheck.org®,https://www.factcheck.org/,FactCheck,3/26/2025,real
Articles,https://www.factcheck.org/,FactCheck,3/26/2025,real
Featured Posts,https://www.factcheck.org/articles/,FactCheck,3/26/2025,real
FactCheck Posts,https://www.factcheck.org/the-factcheck-wire/,FactCheck,3/26/2025,real
SciCheck,https://www.factcheck.org/scicheck/,FactCheck,3/26/2025,real
En Español,https://www.factcheck.org/es/en-espanol/,FactCheck,3/26/2025,real
2024 elections,https://www.factcheck.org/tag/2024-elections/,FactCheck,3/26/2025,real
Players Guide 2024,https://www.factcheck.org/players-guide/2024/,FactCheck,3/26/2025,real
Debunking Viral Claims,https://www.factcheck.org/fake-news/,FactCheck,3/26/2025,real
Ask a Question,https://www.factcheck.org/,FactCheck,3/26/2025,fake
Ask FactCheck,https://www.factcheck.org/askfactcheck/,FactCheck,3/26/2025,real
Ask SciCheck,https://www.factcheck.org/askscicheck/,FactCheck,3/26/2025,real
Donate,https://giving.aws.cloud.upenn.edu/fund?fastStart=simpleForm&program=ANS&fund=602014,FactCheck,3/26/2025,real
Topics,https://www.factcheck.org/,FactCheck,3/26/2025,real
President Trump,https://www.factcheck.org/person/donald-trump/,FactCheck,3/26/2025,real
Joe Biden,https://www.factcheck.org/person/joe-biden/,FactCheck,3/26/2025,real
health,https://www.factcheck.org/issue/health/,FactCheck,3/26/2025,real
Coronavirus,https://www.factcheck.org/a-guide-to-our-coronavirus-coverage/,FactCheck,3/26/2025,real
immigration,https://www.factcheck.org/issue/immigration/,FactCheck,3/26/2025,real
climate change,https://www.factcheck.org/issue/climate-change/,FactCheck,3/26/2025,real
View All,https://www.factcheck.org/archives/,FactCheck,3/26/2025,real
About Us,https://www.factcheck.org/,FactCheck,3/26/2025,real
Our Mission,https://www.factcheck.org/about/our-mission/,FactCheck,3/26/2025,real
Our Process,https://www.factcheck.org/our-process/,FactCheck,3/26/2025,real
Our Funding,https://www.factcheck.org/our-funding/,FactCheck,3/26/2025,real
Our Staff,https://www.factcheck.org/our-staff/,FactCheck,3/26/2025,real
Undergraduate Fellows,https://www.factcheck.org/undergraduate-fellows/,FactCheck,3/26/2025,real
Awards,https://www.factcheck.org/awards/,FactCheck,3/26/2025,real
Request a Correction,https://www.factcheck.org/request-a-correction/,FactCheck,3/26/2025,real
Contact Us,https://www.factcheck.org/about/contact-us/,FactCheck,3/26/2025,real
Search,https://www.factcheck.org/search/,FactCheck,3/26/2025,real
Viral Claims,https://www.factcheck.org/hot-topics/,FactCheck,3/26/2025,real
Subscribe,https://www.factcheck.org/subscribe/,FactCheck,3/26/2025,real
Instagram,https://www.instagram.com/factcheckorg/,FactCheck,3/26/2025,real
Threads,https://www.threads.net/@factcheckorg,FactCheck,3/26/2025,real
