标题,链接,日期
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2025年2月辟谣榜,https://www.cac.gov.cn/2025-03/13/c_1743568624128884.htm,
利用AI造谣扰乱视听 联动整治维护网络清朗——中国互联网联合辟谣平台2025年2月辟谣榜综述,https://www.cac.gov.cn/2025-03/13/c_1743568635023235.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2025年1月辟谣榜,https://www.cac.gov.cn/2025-02/11/c_1740972836573635.htm,
涉春节谣言给节日“添堵” 清朗行动营造良好氛围——中国互联网联合辟谣平台2025年1月辟谣榜综述,https://www.cac.gov.cn/2025-02/11/c_1740972836571433.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年12月辟谣榜,https://www.cac.gov.cn/2025-01/10/c_1738209437569073.htm,
民生谣言扰乱人心 联动惩谣共护清朗——中国互联网联合辟谣平台2024年12月辟谣榜综述,https://www.cac.gov.cn/2025-01/10/c_1738209437448716.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年11月辟谣榜,https://www.cac.gov.cn/2024-12/06/c_1735181524889522.htm,
造谣事故灾害扰乱秩序 辟谣与打击并重绝不姑息——中国互联网联合辟谣平台2024年11月辟谣榜综述,https://www.cac.gov.cn/2024-12/06/c_1735181525903533.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年10月辟谣榜,https://www.cac.gov.cn/2024-11/12/c_1733102556737805.htm,
造假摆拍炒作引流 依法处罚以正视听——中国互联网联合辟谣平台2024年10月辟谣榜综述,https://www.cac.gov.cn/2024-11/12/c_1733102556497382.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年9月辟谣榜,https://www.cac.gov.cn/2024-10/12/c_1730422345687081.htm,
编造公共政策图牟利 恶意炮制话题扰视听——中国互联网联合辟谣平台2024年9月辟谣榜综述,https://www.cac.gov.cn/2024-10/12/c_1730422344058378.htm,
打击网络谣言 共建清朗家园 中国互联网联合辟谣平台2024年8月辟谣榜,https://www.cac.gov.cn/2024-09/10/c_1727654610445326.htm,
虚构灾害事故干扰秩序 杜撰歪解政策混淆视听——中国互联网联合辟谣平台2024年8月辟谣榜综述,https://www.cac.gov.cn/2024-09/10/c_1727654610821199.htm,
