标题,网站,时间
27 2025-03-27 已辟谣 手机壁纸换成草原，可以防止近视？ 近视 手机屏保 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=zEdz,
27 2025-03-27 已辟谣 躺进高科技人体能量舱，就能够消除结节、降血压治疗各种顽疾？ 甲状腺 甲状腺结节 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=lVQy,
25 2025-03-25 已辟谣 AI 训练数据是凭空学来的？ AI 人工智能 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=WgJv,
24 2025-03-24 已辟谣 胆固醇高的人不能吃蛋黄？ 胆固醇 蛋黄 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=LjoM,
21 2025-03-21 已辟谣 5G 基站比 4G 辐射更强，危害更大？ 5G 电磁辐射 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=nVnD,
20 2025-03-20 已辟谣 春笋含草酸，吃了会导致结石？ 春笋 结石 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=MzwQ,
20 2025-03-20 已辟谣 羽绒服干洗更好？ 羽绒服 羽绒服清洗 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=XgZW,
20 2025-03-20 已辟谣 健康真知月经周期缩短就是卵巢早衰？ 月经 月经周期 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=kVeo,
19 2025-03-19 已辟谣 喝羽衣甘蓝粉或可可粉，能快速减肥？ 减肥 科学减肥 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=mVvm,
18 2025-03-18 已辟谣 量子能量手环可以改善健康？ 能量手环 伪科学 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=rBDl,
18 2025-03-18 已辟谣 打胰岛素比吃口服药降糖效果好？ 胰岛素 糖尿病 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=ArjZ,
17 2025-03-17 已辟谣 诺如病毒只传小孩不传大人？ 诺如病毒 诺如 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=YnjX,
17 2025-03-17 已辟谣 脑机接口能控制大脑？ 脑机接口 人工智能 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=yYZq,
17 2025-03-17 已辟谣 轮流用一盆水坐浴，泡完后又轮流坐热凳子，会感染 HPV？ HPV 皮肤病 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=QgEO,
17 2025-03-17 已辟谣 健康真知擤鼻涕时，要捏着两侧鼻翼用力一起擤？ 擤鼻涕 鼻涕 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=qzjB,
12 2025-03-12 已辟谣 AI 可以用来预测彩票信息？ AI 彩票 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=VgoR,
11 2025-03-11 已辟谣 脱氢乙酸钠危害身体健康，已经被禁用了？ 防腐剂 食品添加剂 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=vXnw,
10 2025-03-10 已辟谣 感染产志贺毒素大肠杆菌会致命，需要大家预防？ 大肠杆菌 腹泻 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=bRpv,
10 2025-03-10 已辟谣 鱼胆是非常管用的偏方，吃了可以治大病？ 鱼胆 偏方 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=exLE,
06 2025-03-06 已辟谣 蜂蜜有营养又甜，加在水里可以让小宝宝更爱喝？ 蜂蜜 蜂蜜水 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=dZOq,
06 2025-03-06 已辟谣 啤酒肚是喝啤酒喝出来的？ 啤酒肚 啤酒 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=EYQo,
05 2025-03-05 已辟谣 吹风机吹头发会导致脱发？ 吹风机 脱发 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=zEpV,
04 2025-03-04 已辟谣 铁锅炒菜能补铁吗？ 补铁 铁锅 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=WgwE,
03 2025-03-03 已辟谣 抗病毒药可以预防流感？ 流感 抗病毒 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=LjOq,
03 2025-03-03 已辟谣 频繁献血会导致脑梗？ 献血 脑梗 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=OxlQ,
28 2025-02-28 已辟谣 长期喝有水垢的水，会得肾结石？ 肾结石 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=anZX,
27 2025-02-27 已辟谣 健康真知皮肤敏感就是皮肤过敏 皮肤过敏 皮肤敏感 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=gOlA,
27 2025-02-27 已辟谣 电热毯、暖宝宝有辐射，会致癌？ 电热毯 暖宝宝 来源：科学辟谣 谣言,https://piyao.kepuchina.cn/rumor/rumordetail?id=MzLQ,
